AC Léopards,Dolisie
AS Chéminots,Pointe-Noire
AS Ponténégrine,Pointe-Noire
CARA Brazzaville,Brazzaville
CS La Mancha,Pointe-Noire
CSM Diables Noirs,Brazzaville
Étoile du Congo,Brazzaville
FC Bilombé,Pointe-Noire
FC Cuvette d'Owando,Brazzaville
FC Kondzo,Brazzaville
Inter Club Brazzaville,Brazzaville
JS Talangaï,Brazzaville
Munisport de Pointe-Noire,Pointe-Noire
Nico-Nicoyé,Pointe-Noire
Patronage Sainte-Anne,Brazzaville
Saint Michel de Ouenzé,Brazzaville
Tongo FC Jambon,Brazzaville
US Saint Pierre,Pointe-Noire