AD Mongomo,Mongomo
Águilas Verdes de Guadalupe,Bata
Akonangui FC,Ebebiyín
Campo Amor FC,Alep
Deportivo Mongomo,Mongomo
Dragón FC,Bata
AD Mesi Nkulu,Ebebiyín
Atlético Nsok-Nsomo,Nsok
Quince de Agosto de Akonibe,Aconibe
Racing de Micomeseng,Micomeseng
Real Sanidad,Evinayong
Robella Inter,Mbini
Atlético Malabo,Malabo
Atlético Semu,Malabo
Deportivo Ebenezer,Luba
CD Unidad Malabo,Malabo
Inter Junior,Malabo
Leones Vegetarianos FC,Malabo
Real X Balompié,Malabo
San Pablo de Nsork,Nsork
FC Santa Rosa,Malabo
CD Elá Nguema,Malabo
The Panthers FC,Malabo