América,Mexico City
Atlas,Guadalajara, Jalisco
Atlético San Luis,San Luis Potosí City, San Luis Potosí
Cruz Azul,Mexico City
Guadalajara,Guadalajara, Jalisco
FC Juárez,Ciudad Juárez, Chihuahua
León,León, Guanajuato
Mazatlán,Mazatlán, Sinaloa
Monterrey,Monterrey, Nuevo Leon
Necaxa,Aguascalientes, Aguascalientes
Pachuca,Pachuca, Hidalgo
Puebla,Puebla, Puebla
Querétaro,Querétaro, Querétaro
Santos Laguna,Torreón, Coahuila
Tijuana,Tijuana, Baja California
Toluca,Toluca, State of Mexico
Tigres UANL,San Nicolás, Nuevo León
Pumas UNAM,Mexico City