Atlanta United FC,Atlanta, Georgia
Austin FC,Austin, Texas
Charlotte FC,Charlotte, North Carolina
Chicago Fire FC,Chicago, Illinois
Colorado Rapids,Denver, Colorado
Columbus Crew,Columbus, Ohio
FC Cincinnati,Cincinnati, Ohio
FC Dallas,Dallas, Texas
D.C. United,Washington, D.C.
Houston Dynamo FC,Houston, Texas
Inter Miami CF,Miami, Florida
LA Galaxy,Los Angeles, California
Los Angeles FC,Los Angeles, California
Minnesota United FC,Minneapolisâ€“Saint Paul
Nashville SC,Nashville, Tennessee
New England Revolution,Boston, Massachusetts
New York City FC,New York
New York Red Bulls,New York
Orlando City SC,Orlando, Florida
Philadelphia Union,Philadelphia, Pennsylvania
Portland Timbers,Portland, Oregon
Real Salt Lake,Salt Lake City, Utah
San Jose Earthquakes,San Jose, California
Seattle Sounders FC,Seattle, Washington
Sporting Kansas City,Kansas City, Missouri