Argentinos Juniors,Buenos Aires
Arsenal,Sarandí
Atlético Tucumán,Tucumán
Banfield,Banfield
Barracas Central,Buenos Aires
Belgrano,Córdoba
Boca Juniors,Buenos Aires
Central Córdoba (SdE),Santiago del Estero
Colón,Santa Fe
Defensa y Justicia,Florencio Varela
Estudiantes (LP),La Plata
Gimnasia y Esgrima (LP),La Plata
Godoy Cruz,Godoy Cruz
Huracán,Buenos Aires
Independiente,Avellaneda
Instituto,Córdoba
Lanús,Lanús
Newell's Old Boys,Rosario
Platense,Florida
Racing,Avellaneda
River Plate,Buenos Aires
Rosario Central,Rosario
San Lorenzo,Buenos Aires
Sarmiento (J),Junín
Talleres (C),Córdoba
Tigre,Victoria
Unión,Santa Fe
Vélez Sarsfield,Buenos Aires